year,county_fips,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
2008,46015,0.4010806317539485,0.5847880299251871,REPUBLICAN,0.5847880299251871
2012,46015,0.346364018495166,0.6300966792770072,DEMOCRAT,0.346364018495166
2016,46015,0.24956293706293706,0.6840034965034965,DEMOCRAT,0.24956293706293706
2020,46015,0.27028112449799196,0.7028112449799196,REPUBLICAN,0.7028112449799196
2024,46015,0.27486586875773833,0.6991333058192324,DEMOCRAT,0.27486586875773833
2000,46017,0.6274509803921569,0.3431372549019608,DEMOCRAT,0.6274509803921569
2004,46017,0.7170035671819263,0.26516052318668254,REPUBLICAN,0.26516052318668254
2008,46017,0.7418300653594772,0.2549019607843137,REPUBLICAN,0.2549019607843137
2012,46017,0.7363494539781591,0.2589703588143526,DEMOCRAT,0.7363494539781591
2016,46017,0.6040816326530613,0.3489795918367347,DEMOCRAT,0.6040816326530613
2020,46017,0.6411657559198543,0.3333333333333333,REPUBLICAN,0.3333333333333333
2024,46017,0.6244635193133047,0.351931330472103,DEMOCRAT,0.6244635193133047
2000,46019,0.22770398481973433,0.74817023583627,DEMOCRAT,0.22770398481973433
2004,46019,0.23624443924139546,0.7412783891360337,REPUBLICAN,0.7412783891360337
2008,46019,0.31058263971462546,0.6708680142687277,REPUBLICAN,0.6708680142687277
2012,46019,0.23811787072243346,0.7302756653992395,DEMOCRAT,0.23811787072243346
2016,46019,0.1599632268444036,0.7715467708572742,DEMOCRAT,0.1599632268444036
2020,46019,0.19554352353186172,0.7769679300291545,REPUBLICAN,0.7769679300291545
2024,46019,0.18536009445100354,0.7918142463597009,DEMOCRAT,0.18536009445100354
2000,46021,0.16030534351145037,0.8058887677208287,DEMOCRAT,0.16030534351145037
2004,46021,0.2492179353493222,0.7382690302398331,REPUBLICAN,0.7382690302398331
2008,46021,0.28791469194312796,0.7002369668246445,REPUBLICAN,0.7002369668246445
2012,46021,0.19440914866581957,0.7827191867852605,DEMOCRAT,0.19440914866581957
2016,46021,0.1263537906137184,0.8471720818291215,DEMOCRAT,0.1263537906137184
2020,46021,0.13402061855670103,0.8556701030927835,REPUBLICAN,0.8556701030927835
2024,46021,0.14354066985645933,0.8444976076555024,DEMOCRAT,0.14354066985645933
2000,46023,0.3632299525006985,0.6160938809723386,DEMOCRAT,0.3632299525006985
2004,46023,0.44914547728220094,0.5327219674864527,REPUBLICAN,0.5327219674864527
2008,46023,0.4589789179578359,0.5356870713741427,REPUBLICAN,0.5356870713741427
2012,46023,0.39399574920297553,0.5924548352816154,DEMOCRAT,0.39399574920297553
2016,46023,0.27235653946985144,0.6938537722108943,DEMOCRAT,0.27235653946985144
2020,46023,0.3111287338091462,0.6745968807824478,REPUBLICAN,0.6745968807824478
2024,46023,0.2766251728907331,0.7056708160442601,DEMOCRAT,0.2766251728907331
2000,46025,0.3752371916508539,0.603415559772296,DEMOCRAT,0.3752371916508539
2004,46025,0.3760206274172755,0.6166738289643318,REPUBLICAN,0.6166738289643318
