STCOFIPS10,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM
19125,2022,0.56349760294,0.587252020836,0.3200281858444
19127,2010,0.533702671528,0.527141392231,0.4287993907928
19127,2012,0.708845794201,0.674492180347,0.4813985824585
19127,2014,0.515029788017,0.528719842434,0.4764232635498
19127,2016,0.676153302193,0.689753293991,0.4448165893555
19127,2018,0.492739081383,0.589346468449,NA
19127,2020,0.611356496811,0.727203965187,0.467230618
19127,2022,0.417486459017,0.506700754166,0.4381920099258
19129,2010,0.444484293461,0.463914632797,0.3010476231575
19129,2012,0.649775803089,0.662733256817,0.3486857414246
19129,2014,0.448452711105,0.471813946962,0.3353815972805
19129,2016,0.687179505825,0.691090166569,0.2988980412483
19129,2018,0.572984158993,0.603965103626,NA
19129,2020,0.747750163078,0.755157709122,0.3155537545681
19129,2022,0.510709166527,0.498901098967,0.305693179369
19131,2010,0.559975445271,0.617352485657,0.4099777936935
19131,2012,0.691958248615,0.746292352676,0.4566336870193
19131,2014,0.522284269333,0.571525633335,0.4595646560192
19131,2016,0.685412764549,0.738891839981,0.402135938406
19131,2018,0.567399680614,0.626904606819,NA
19131,2020,0.728910446167,0.788681268692,0.3816265761852
19131,2022,0.531494617462,0.578029990196,0.3652236759663
19133,2010,0.505255758762,0.523070216179,0.3669381141663
19133,2012,0.669796764851,0.675954759121,0.3978083729744
19133,2014,0.547025501728,0.578316867352,0.3906907737255
19133,2016,0.655665695667,0.705855429173,0.3345127701759
19133,2018,0.568746328354,0.613752365112,NA
19133,2020,0.702838540077,0.749015271664,0.3120186328888
19133,2022,0.49793022871,0.536989808083,0.2910323739052
19135,2010,0.49177852273,0.555534482002,0.371352314949
19135,2012,0.648154377937,0.727632343769,0.4094843566418
19135,2014,0.506542026997,0.590297043324,0.3963004648685
19135,2016,0.663891255856,0.740382790565,0.3564859628677
19135,2018,0.55278211832,0.627632379532,NA
19135,2020,0.713988542557,0.790443301201,0.2804473936558
19135,2022,0.519154071808,0.569933414459,0.2717390656471
19137,2010,0.456177026033,0.473583459854,0.2981939315796
19137,2012,0.621757864952,0.630358934402,0.3467381000519
19137,2014,0.494980692863,0.500585734844,0.3204053938389
19137,2016,0.656628072262,0.671580910683,0.2717356681824
19137,2018,0.501757025719,0.541221082211,NA
19137,2020,0.672690749168,0.716386020184,0.2982775270939
19137,2022,0.449673712254,0.483209699392,0.292036563158
19139,2010,0.446368634701,0.459771305323,0.456674516201
19139,2012,0.662655830383,0.649127364159,0.5131793022156
19139,2014,0.432545244694,0.45334610343,0.4990227520466
19139,2016,0.63991522789,0.6633425951,0.4604879319668
19139,2018,0.465168535709,0.524651050568,NA
19139,2020,0.640511035919,0.707191884518,0.4701490700245
19139,2022,0.409050345421,0.458080530167,0.4457327127457
