county_fips,year,state,county_name,dem_votes,rep_votes,seat_status,total_votes,two_party_total,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
01033,2014,AL,COLBERT,6119,9551,Republican Incumbent,15711,15670,0.39049138481174217,0.6095086151882578,REPUBLICAN,0.6095086151882578
01033,2018,AL,COLBERT,7692,13180,Republican Open Seat,20906,20872,0.3685320045994634,0.6314679954005366,REPUBLICAN,0.6314679954005366
01035,2002,AL,CONECUH,2638,2276,Democratic Incumbent,4986,4914,0.5368335368335369,0.46316646316646315,DEMOCRAT,0.5368335368335369
01035,2006,AL,CONECUH,2252,1975,Republican Incumbent,4237,4227,0.5327655547669742,0.46723444523302576,REPUBLICAN,0.46723444523302576
01035,2010,AL,CONECUH,2982,2311,Republican Open Seat,5303,5293,0.5633856036274325,0.43661439637256755,REPUBLICAN,0.43661439637256755
01035,2014,AL,CONECUH,2344,2373,Republican Incumbent,4719,4717,0.4969260122959508,0.5030739877040492,REPUBLICAN,0.5030739877040492
01035,2018,AL,CONECUH,2444,2473,Republican Open Seat,4924,4917,0.4970510473866179,0.5029489526133821,REPUBLICAN,0.5029489526133821
01037,2002,AL,COOSA,2521,1812,Democratic Incumbent,4406,4333,0.581813985691207,0.418186014308793,DEMOCRAT,0.581813985691207
01037,2006,AL,COOSA,2404,1915,Republican Incumbent,4347,4319,0.5566103264644594,0.44338967353554065,REPUBLICAN,0.44338967353554065
01037,2010,AL,COOSA,2342,2068,Republican Open Seat,4421,4410,0.5310657596371882,0.4689342403628118,REPUBLICAN,0.4689342403628118
01037,2014,AL,COOSA,1579,2260,Republican Incumbent,3841,3839,0.4113050273508726,0.5886949726491274,REPUBLICAN,0.5886949726491274
01037,2018,AL,COOSA,1522,2785,Republican Open Seat,4314,4307,0.3533782214998839,0.646621778500116,REPUBLICAN,0.646621778500116
01039,2002,AL,COVINGTON,4931,6362,Democratic Incumbent,11459,11293,0.4366421677145134,0.5633578322854866,DEMOCRAT,0.4366421677145134
01039,2006,AL,COVINGTON,4055,7196,Republican Incumbent,11291,11251,0.36041240778597455,0.6395875922140254,REPUBLICAN,0.6395875922140254
01039,2010,AL,COVINGTON,4328,7832,Republican Open Seat,12196,12160,0.35592105263157897,0.6440789473684211,REPUBLICAN,0.6440789473684211
01039,2014,AL,COVINGTON,1777,6155,Republican Incumbent,7937,7932,0.2240292486132123,0.7759707513867877,REPUBLICAN,0.7759707513867877
