STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price
42039,PA,2010,0.400409817696,0.511001527309,0.4202685058117,0.8720869589086218,0.00293705909802091,"Crawford County, Pennsylvania",0.962236484428754,0.0179455654939824,0.00402675479657557,4.5117700801967e-4,58,3.7,37687,5.7,55258.8468592389,27.4,36866.1485557084,66.5,3.1,2.4,0.185183960314179,41.8,88657,22.1,87.5797081067836,3.392507358636716
42039,PA,2012,0.526205658913,0.681547641754,0.4263951778412,0.9086935405536668,7.015271706869569e-4,"Crawford County, Pennsylvania",0.959291308020731,0.0161076736911802,0.00589054544624306,0.00119865750359597,58.8,2.5,37948,5.4,57923.612804878,25.9,35303.1729094077,67.5,2.6,2.42,0.199660880367995,42.3,87598,22.5,86.5335762628787,3.6337821158690167
42039,PA,2016,0.56267768144600006,0.7155995965,0.3601973950863,0.87926855542389315,0.00201982117849833,"Crawford County, Pennsylvania",0.95775415328611,0.0174710458281647,0.00364028426678415,1.6230566794579e-4,57.3,2.9,37768,3.4,59506.0208333333,73.8,150042.708333333,61.8,1.6,2.44,0.220906771606276,42.7,86257,20.7,85.2088710667723,3.22530395274875
42039,PA,2018,0.461369305849,0.585590064526,0.3968442082405,0.8739674297852253,0.0079983216636509,"Crawford County, Pennsylvania",0.953834216992112,0.0102277135769959,0.0040440614603294,8.1116349058932e-4,58.8,2.7,38635,3.2,64505.690959777,75.2,142408.004778973,63.9,2.4,2.37,0.208246451873276,43.2,85063,22.1,84.0293796393667,3.4471642718446605
42039,PA,2022,0.502062082291,0.631768584251,0.3512955307961,0.8528712924153029,0.0049122994366874,"Crawford County, Pennsylvania",0.918712955122777,0.0100278214588121,0.00602395064715132,2.1773315592113e-4,57.1,4.4,37777,1.7,58555.8814485822,73,156981.380252819,49.1,2.3,13071,0.222782258064516,43.7,82670,24.4,81.6654575407221,3.6459206212251942
42041,PA,2010,0.449351876974,0.539849221706,0.3906047940254,0.8963647098515519,0.00826585695006747,"Cumberland County, Pennsylvania",0.902777483348243,0.0321969295474877,0.0256846193308771,0.00146272592755903,65.8,1,119635,3.6,81053.3264557542,26.7,101368.20953691,63.7,2.9,2.31,0.337894289216299,40.2,235861,21.3,432.40179958994,3.392507358636716
42041,PA,2012,0.616061627865,0.758830845356,0.4114707410336,0.9085768948258486,0.00444987273876428,"Cumberland County, Pennsylvania",0.897562590627541,0.0326762050843622,0.032697159429036,8.9684595203969e-4,65.2,1.4,118238,4.8,79152.362804878,28.4,92673.3972125436,65.9,1.4,2.39,0.315982723995258,41.3,238614,20.5,437.44884914146,3.6337821158690167
42041,PA,2014,0.40062379837,0.498008817434,0.394053965807,0.9004741287061884,0.00860181420081326,"Cumberland County, Pennsylvania",0.892177615871219,0.0355633773927027,0.0342137002486031,2.8716534980842e-4,64.9,1.2,123924,2.7,83387.0109843684,29.8,90448.9776087875,64,1.7,2.38,0.34119219963837,40.7,243762,22.1,446.886630140815,3.5123751214771626
42041,PA,2016,0.65692538023,0.744251787663,0.3820231258869,0.8902643709216549,0.00464225186058507,"Cumberland County, Pennsylvania",0.878296701085688,0.0414195230698655,0.0439627212220228,6.8811215825774e-4,64,1,124417,2.6,83250.7708333333,69.8,262345.416666667,63.1,2.5,2.43,0.360402884968761,40.2,248506,21.4,455.583761660035,3.22530395274875
42041,PA,2018,0.506001651287,0.611996114254,0.4668159484863,0.8805584522716307,0.0050350978225342,"Cumberland County, Pennsylvania",0.86961415622278,0.037275825998417,0.0444430302716935,0.00153526129272183,66.1,1,130081,2.5,89931.2186379928,68.3,260768.219832736,62.1,1.4,2.33,0.376046767034274,40.7,251423,22.7,460.931470901511,3.4471642718446605
42043,PA,2010,0.449559301138,0.52434015274,0.4840634465218,0.9177747985096733,0.02964285157528801,"Dauphin County, Pennsylvania",0.744959361717993,0.180303482216091,0.0310081276564015,9.3207068824099e-4,65.6,0.7,129444,4.9,75239.1861531408,34.6,101575.85740486,63.2,3,2.44,0.265162308066004,39.1,268220,21,510.839089211162,3.392507358636716
42043,PA,2012,0.626532375813,0.713630914688,0.5130236148834,0.9291605054955104,0.01255354502355218,"Dauphin County, Pennsylvania",0.725418574898485,0.183019672556691,0.032922329557043,0.00291101922756012,66.8,0.6,132337,4.9,71540.531358885,37.3,92113.1598432056,64.4,3.4,2.47,0.281066476840692,39.7,269665,21.6,513.591167668809,3.6337821158690167
42043,PA,2014,0.394837349653,0.462483435869,0.5063304305077,0.879560783591538,0.02514521611687883,"Dauphin County, Pennsylvania",0.732535650738802,0.176892500727566,0.0362898918044744,7.1098864260111e-4,64.3,1,132151,3.7,70387.1461765948,35.9,94819.0261934939,61.9,2.5,2.37,0.285530947296671,39.8,271453,22.1,516.996507656542,3.5123751214771626
42043,PA,2016,0.658201694489,0.702781379223,0.4928390979767,0.8803413715875862,0.02961331557526469,"Dauphin County, Pennsylvania",0.708023543424173,0.193129879761935,0.0436927078956695,0.0033539514882703,65.3,0.8,136154,3.3,79058.7479166667,63.8,219494.791666667,62.9,2.2,2.4,0.324754062061767,39.6,273707,22.6,521.289369139958,3.22530395274875
42043,PA,2018,0.493436396122,0.59077334404,0.5580259561539,0.8687365088501943,0.02324075406533314,"Dauphin County, Pennsylvania",0.694399434133174,0.20775757225809,0.0454461794967105,0.00236740202889241,66.2,0.8,140565,2.9,72411.4018319395,62.2,214175.627240143,62.1,1.9,2.4,0.309424086493686,40,277097,22.2,527.745802338175,3.4471642718446605
42043,PA,2022,0.516769647598,0.589802086353,0.5508474111557,0.7678094204108903,0.01170591837870942,"Dauphin County, Pennsylvania",0.639484072022161,0.164968836565097,0.0677423822714681,9.1759002770083e-4,65,1.6,143943,2.6,72445.6713358387,62.1,233591.732148958,41.8,1.6,37649,0.359598676147331,39.1,288800,23.1,550.034781016269,3.6459206212251942
42045,PA,2010,0.503861069679,0.544911086559,0.5764834880829,0.8332776452786131,0.08468808928523422,"Delaware County, Pennsylvania",0.730973615889114,0.197598323546871,0.0455571131248257,2.2707929537473e-4,65.9,0.4,265831,6.4,85258.1957817515,29.6,209689.738651994,66.3,2.3,2.6,0.347456412447637,38.9,559276,27.5,3042.13189549731,3.392507358636716
42045,PA,2012,0.703057765961,0.72067463398,0.5983200073242,0.8208876378499267,0.09649109277396468,"Delaware County, Pennsylvania",0.717733800512566,0.205559456636809,0.0503085022580726,0.00139191371204317,64.8,0.3,264657,5.8,83645.2199477352,31.4,191895.681620209,66.6,2.6,2.64,0.352458665410616,39.1,561098,28.2,3052.04250191274,3.6337821158690167
42045,PA,2014,0.442207068205,0.483478963375,0.5921392440796,0.8115541338207852,0.10509920408240984,"Delaware County, Pennsylvania",0.709190706266875,0.211089597839989,0.0527533039647577,0.00132336222822225,64,0.4,267524,4.8,83697.9235318969,29.9,190615.965356992,67.4,2.7,2.65,0.363196023590126,38.7,562960,29.1,3062.1706847588,3.5123751214771626
42045,PA,2016,0.72827154398,0.733230173588,0.5863597989082,0.7989058485267739,0.10575305888802287,"Delaware County, Pennsylvania",0.691949975328451,0.213137333555791,0.0582248554318231,0.00206779528649171,64.7,0.3,275576,4.1,89042.8125,67.3,313844.791666667,66.2,2.3,2.64,0.383807973962571,39,563402,29.1,3064.57490431732,3.22530395274875
42045,PA,2018,0.562642753124,0.626653850079,0.6590884327888,0.809630718353849,0.10869006062832996,"Delaware County, Pennsylvania",0.685730525488224,0.22284688296258,0.0552261084973732,0.00293049503232398,64.7,0.2,278643,3.4,90235.5734767025,66.1,318132.218239745,67,2.3,2.61,0.386072894664459,39,564751,30.6,3071.91266944049,3.4471642718446605
42045,PA,2022,0.562662780285,0.608674168587,0.6459309458733,0.7260714818524754,0.0467097177525344,"Delaware County, Pennsylvania",0.634197523566454,0.217910157132873,0.0637902437837067,7.8757680177752e-4,65.7,0.4,287902,3.6,90213.2558934062,70,339750.256235053,46.1,1.1,72422,0.417533458948003,39.4,575182,28.6,3128.65116313937,3.6459206212251942
42049,PA,2010,0.409119427204,0.496811807156,0.5515640974045,0.9152162618521886,0.01580562410702688,"Erie County, Pennsylvania",0.887539813172014,0.0724866933156623,0.0126119578461341,0.00266489956748823,61.2,0.7,125071,5.7,61312.3590096286,33.3,105278.911049977,61.6,3.2,2.47,0.234463893772454,38.6,280686,18.5,351.203437482526,3.392507358636716
