STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price,d_turnout,d_partisan_index_dem,d_gas,d_unemp,d_income,d_age,d_edu,d_white,d_commute,d_pop,d_pop_density,d_black,d_asian,d_native,d_lfpr,d_manufacturing,d_edu_health,d_percent_car,d_percent_pt,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_gas_lag,d_gas_future
45019,SC,2018,0.456037342548,0.481906741858,NA,0.8687769378204567,0.01005030014691145,"Charleston County, South Carolina",0.688557667434498,0.264731895394243,0.0171394784493909,0.00241928530074771,65.1,0.3,208236,1.8,79481.7025089606,62,425721.027479092,58,1.6,2.45,0.453990880547581,38.2,405905,24.4,443.05149033186,3.0016124271844657,-0.14170330762899996,NA,0.10209675249114447,-0.8,5014.654592293897,1.1000000000000014,0.03775023948274203,0.004782281794723953,0.5,9421,10.283165002689032,-0.010661310888986975,0.0020039370404059,8.404069601337099e-4,0.7999999999999972,0.19999999999999998,10615,0.00762354528192466,-8.566280709851794e-4,0.8999999999999986,50941.86081242503,3.1000000000000014,0.9000000000000001,0,-0.28521707554963305,0.1157094019786058
45019,SC,2022,0.467402547598,0.466899722815,0.5189139842987,0.7713679563209344,0.01073882578584773,"Charleston County, South Carolina",0.661976869816995,0.23239895153346601,0.0173225942630086,0.007334018636755,66.2,0.3,220654,1.9,86389.1851725316,63.4,527139.391868808,43.6,1.1,53195,0.500155504529483,39.5,419279,24.7,457.649415047491,3.1173218291630715,0.011365205049999993,NA,0.1157094019786058,0.09999999999999987,6907.482663570991,1.2999999999999972,0.046164623981901964,-0.026580797617502983,0.3000000000000007,13374,14.597924715630995,-0.03233294386077701,1.8311581361770204e-4,0.00491473333600729,1.1000000000000085,0,12418,-0.09740898149952237,6.885256389362795e-4,1.3999999999999986,101418.36438971595,-14.399999999999999,-0.5,53192.55,0.10209675249114447,NA
45045,SC,2012,0.606804728508,0.679609537125,0.3355401754379,0.9291014014839242,0.00271285875879522,"Greenville County, South Carolina",0.76691438286588,0.183445429368805,0.0212551191710953,0.00286780509190449,63.4,0.4,211732,5.6,63905.4137630662,35,157070.55966899,68.2,1.9,2.58,0.3231827868642,37.2,467605,21.5,595.589446383384,3.290367128463476,0.19045522809000004,0.0016304552554999852,0.17557471947819359,-0.8000000000000007,-1251.3148018122956,0.10000000000000142,0.022254150815027962,0.0030651494400230073,0.10000000000000142,14746,18.78201040700901,0.00438307221127901,0.0022757017365295992,4.277520069486899e-4,-0.8000000000000043,0,6386,-0.0051826982127030075,-4.993237407586401e-4,3,-11954.804842701997,3.4000000000000057,0.19999999999999996,0.020000000000000018,NA,-0.1056343782205218
45045,SC,2014,0.357808530331,0.442025333643,0.3277387320995,0.9260412543431412,0.00679948981835774,"Greenville County, South Carolina",0.763607400901498,0.182027210658889,0.0196249834283442,0.00119937359140925,63.8,0.5,228801,3.8,65461.7068018589,34.6,157396.15547106,67.1,1.3,2.6,0.325181100659531,37.9,482752,21.6,614.882211311837,3.1847327502429543,-0.24899619817700003,-0.007801443338399994,-0.1056343782205218,-1.7999999999999998,1556.2930387926972,0.6999999999999957,0.001998313795330997,-0.00330698196438195,0.10000000000000142,15147,19.292764928452925,-0.0014182187099160137,-0.0016301357427511015,-0.0016684315004952398,0.3999999999999986,0.09999999999999998,17069,-0.003060147140782954,0.00408663105956252,-0.3999999999999986,325.5958020699909,-1.1000000000000085,-0.5999999999999999,0.020000000000000018,0.17557471947819359,-0.28521707554963305
45045,SC,2016,0.617236375809,0.688593566418,0.3000787496567,0.9293033864852012,0.00294165919678816,"Greenville County, South Carolina",0.746019175324701,0.182562564408961,0.0228143057064836,0.00369712450327408,64.4,1.3,241844,3,72521.0791666667,64.9,227226.25,66.5,2.2,2.59,0.340262407705792,38.1,498766,22.7,635.279275916329,2.8995156746933213,0.259427845478,-0.02765998244279999,-0.28521707554963305,-0.7999999999999998,7059.3723648078085,0.20000000000000284,0.015081307046261039,-0.017588225576797067,1.0999999999999979,16014,20.397064604492016,5.353537500719929e-4,0.0031893222781394018,0.00249775091186483,0.6000000000000085,0.8,13043,0.003262132142059948,-0.0038578306215695797,30.300000000000004,69830.09452894001,-0.5999999999999943,0.9000000000000001,-0.010000000000000231,-0.1056343782205218,0.10209675249114447
45045,SC,2018,0.440728187561,0.507944762707,NA,0.9040816084173524,0.00452060596704153,"Greenville County, South Carolina",0.724872766732852,0.175697619468975,0.0260514611649258,0.0124442594800209,65,0.5,256432,2.5,76631.0374352847,67.7,241354.639585822,64.9,2,2.61,0.364108984303705,38.4,514213,23.7,654.954151459328,3.0016124271844657,-0.17650818824800002,NA,0.10209675249114447,-0.5,4109.958268617993,0.29999999999999716,0.02384657659791295,-0.02114640859184902,1,15447,19.674875542999075,-0.00686494493998599,0.0032371554584421994,0.00874713497674682,0.5999999999999943,-0.8,14588,-0.025221778067848755,0.0015789467702533697,2.799999999999997,14128.389585822006,-1.5999999999999943,-0.20000000000000018,0.020000000000000018,-0.28521707554963305,0.1157094019786058
45045,SC,2022,0.439923405647,0.478090792894,0.3716173768044,0.8381421481412117,0.00287667384586571,"Greenville County, South Carolina",0.679191532074094,0.170968154028652,0.0248143078748061,0.00177388447851081,64.8,0.3,270656,3,77070.228903314,69.9,310416.979842842,50.4,1.2,65727,0.41845794702426,38.5,547950,23.3,697.925037469179,3.1173218291630715,-8.04781914000019e-4,NA,0.1157094019786058,0.5,439.19146802929754,0.10000000000000142,0.054348962720555005,-0.04568123465875795,-0.3999999999999986,33737,42.970886009850915,-0.0047294654403229885,-0.0012371532901197003,-0.01067037500151009,-0.20000000000000284,-0.2,14224,-0.06593946027614073,-0.0016439321211758197,2.200000000000003,69062.34025701997,-14.500000000000007,-0.8,65724.39,0.10209675249114447,NA
45051,SC,2012,0.552426874638,0.664366483688,0.3243547081947,0.9309967861516838,5.424910201297046e-4,"Horry County, South Carolina",0.809887170767132,0.135604088067024,0.0114069114547355,0.00399241900915741,60,1.1,124374,6.3,55274.4708188153,33.1,108291.554878049,63.1,2.4,2.37,0.210485438839116,41.8,282285,21.7,248.945438231166,3.290367128463476,0.20716494321899998,-0.02039349079139996,0.17557471947819359,-1.4000000000000004,-4666.547062890299,0.19999999999999574,-0.022712257086477006,0.014276476687333006,0.8999999999999986,11855,10.454852968562022,0.0019059036939880203,-7.736898099170997e-4,0.0017626368104368497,-1.2000000000000028,0.30000000000000004,5678,-0.0012342198226086287,-9.24738689806338e-6,3.5,-4797.223205399001,-1.999999999999993,0.2999999999999998,-0.020000000000000018,NA,-0.2887547012790104
45051,SC,2018,0.382024616003,0.458258748055,NA,0.899292613249898,0.00305400625765202,"Horry County, South Carolina",0.820669655699454,0.133649283591024,0.0149093265377876,0.00946688479051103,54.9,0.6,150377,2.8,61430.8303464755,73.5,234215.452011151,62.5,2.4,2.58,0.238919564826891,46.3,344147,22.2,303.501162764373,3.0016124271844657,-0.17040225863500003,NA,-0.2887547012790104,-3.5,6156.359527660199,4.5,0.028434125987775005,0.010782484932322034,0.5,61862,54.55572453320701,-0.0019548044760000216,0.0035024150830521,0.00547446578135362,-5.100000000000001,-0.5000000000000001,26003,-0.03170417290178584,0.0025115152375223154,40.4,125923.897133102,-0.6000000000000014,0,0.20999999999999996,0.17557471947819359,0.1157094019786058
45051,SC,2022,0.457209140062,0.463687896729,0.30453220009800003,0.8355997647182151,0.00258577011105999,"Horry County, South Carolina",0.769178362886027,0.119292301507957,0.0136491421322314,0.00105194191610045,55.4,0.5,174799,1.8,65610.9104885548,75.8,306441.407584558,51.5,0.5,67712,0.276161653237116,48.9,383101,24.1,337.854460321299,3.1173218291630715,0.075184524059,NA,0.1157094019786058,-0.9999999999999998,4180.0801420793,2.6000000000000014,0.037242088410225,-0.051491292813427014,1.9000000000000021,38954,34.35329755692595,-0.014356982083066988,-0.001260184405556199,-0.00841494287441058,0.5,-0.09999999999999998,24422,-0.06369284853168289,-4.682361465920301e-4,2.299999999999997,72225.955573407,-11,-1.9,67709.42,-0.2887547012790104,NA
45063,SC,2012,0.595637559891,0.696264922619,0.2594277560711,0.913724324578008,7.274376984809849e-4,"Lexington County, South Carolina",0.800363157622242,0.141683246673521,0.0150921207369659,0.00251473709902887,67.8,0.9,130763,6.3,71658.3318815331,26.3,106568.379790941,69.3,1.6,2.54,0.288564926283848,38.3,270406,24.7,386.880553710374,3.290367128463476,0.155628085137,-0.009735912084599951,0.17557471947819359,-1.2999999999999998,-2740.1688062247995,0.29999999999999716,0.002499755168734019,-0.014637259984038975,0.09999999999999787,7000,10.015176719349995,-7.888306519769905e-4,0.0031789524720060996,7.645871404098601e-4,-1.1000000000000085,-0.9,4441,-0.008177851985330165,-7.924179558696951e-4,0.6000000000000014,-2485.684858301989,0.7000000000000028,0.10000000000000009,-0.020000000000000018,NA,-0.1056343782205218
45063,SC,2014,0.371541619301,0.476813226938,0.260646790266,0.9087902445609376,0.00356229516802783,"Lexington County, South Carolina",0.796014941271304,0.137188363657301,0.0165930158912943,0.00322791916167665,66.1,0.8,135431,4.2,71722.4757076468,27.7,103240.238698775,66.6,2.2,2.56,0.294926188079414,39,277888,24.5,397.585346883828,3.1847327502429543,-0.22409594059,0.0012190341948999928,-0.1056343782205218,-2.0999999999999996,64.14382611369365,0.7000000000000028,0.006361261795566009,-0.004348216350937961,-0.1999999999999993,7482,10.704793173453993,-0.004494883016220003,0.001500895154328401,7.131820626477799e-4,-1.7000000000000028,-0.09999999999999998,4668,-0.004934080017070408,0.002834857469546845,1.3999999999999986,-3328.141092165999,-2.700000000000003,0.6000000000000001,0.020000000000000018,0.17557471947819359,-0.28521707554963305
45063,SC,2016,0.592651367188,0.688121855259,0.2490399330854,0.9367576933329383,0.00165121582797737,"Lexington County, South Carolina",0.794724594333953,0.144928650295602,0.0173482508490685,0.00219080630057723,64.7,0.6,137541,3.9,75194.3291666667,73.9,197741.875,68.7,2.5,2.57,0.305013489664685,38.9,286196,27,409.471930910166,2.8995156746933213,0.22110974788700005,-0.011606857180600005,-0.28521707554963305,-0.30000000000000027,3471.8534590199124,-0.10000000000000142,0.010087301585270991,-0.0012903469373509724,2.5,8308,11.886584026338028,0.007740286638301008,7.552349577741972e-4,-0.0010371128610994198,-1.3999999999999915,-0.20000000000000007,2110,0.027967448772000747,-0.00191107934005046,46.2,94501.636301225,2.1000000000000085,0.2999999999999998,0.009999999999999787,-0.1056343782205218,0.10209675249114447
