state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_lag,d_percent_pt_lag
TX,2016,48303,-0.005086314731275743,-0.5501078468454339,-2.4000000000000004,7155.3863821138,-2.9000000000000057,-0.29999999999999716,0.03173064949245202,0.02120252801268907,-0.0013423111953664024,-4.155451339268e-4,0.010384166442862181,-0.8999999999999999,6441,12.600000000000001,94236.7653890821,-1.2999999999999972,0.2999999999999998,0.009999999999999787,0.7000000000000028,17377,19.40264802266097,0.012116410214842777,0.00419906157202382,DEMOCRAT,DEMOCRAT,TRUE,0.2830234413662852,0.027913471173679483,0.24125759164837302,-0.00499358919212176
TX,2016,48309,-0.0024515030617370814,-0.5501078468454339,-2.4000000000000004,5713.873257839703,2,0.09999999999999432,-0.005516814082311999,0.004636163574369023,0.0018277735066800083,-0.0010036471037595009,-4.581811270449026e-5,0.5,12304,21.5,90728.318815331,-2.299999999999997,-0.19999999999999973,0.040000000000000036,0.8000000000000007,9227,8.896840703630005,-0.02273572616359798,-0.0037892718007294305,DEMOCRAT,DEMOCRAT,TRUE,0.3422447043945621,0.02988144720428193,0.24125759164837302,0.00600426541528008
TX,2016,48339,0.03382264499592724,-0.5501078468454339,-1.5999999999999996,3329.9239909987955,0.29999999999999716,0.7000000000000028,0.01718092553655004,-0.004368834233353991,0.014115423155455303,0.003474283328320199,0.0022617864208094897,0.40000000000000036,41313,44.10000000000001,127673.850174216,0.09999999999999432,-0.10000000000000009,-0.040000000000000036,-0.8000000000000043,71156,68.29886567228704,-0.006889642795029793,-0.009889708999143071,DEMOCRAT,DEMOCRAT,TRUE,0.22398745064310568,0.09625309453444908,0.24125759164837302,0.0033391507162301715
TX,2016,48355,-0.005053058729820592,-0.5501078468454339,-0.8999999999999995,3828.8183362368873,-1.1999999999999957,-0.29999999999999716,0.031769951984676,0.05672391776364105,-0.001381847598680902,8.584120678125987e-4,-0.0012287015670416701,-1.9000000000000004,5639,15.200000000000003,74477.3257839721,-1.2999999999999972,-0.6999999999999997,-0.04999999999999982,-1.8999999999999986,13659,16.289675557003022,0.003557987355640835,-0.007891144848174068,DEMOCRAT,DEMOCRAT,TRUE,0.4712226425937455,0.018216391121039177,0.24125759164837302,0.01266707933288988
TX,2016,48439,0.017126540259999046,-0.5501078468454339,-2.2,3873.0711527294043,-1.1000000000000085,0.5999999999999943,0.010301050032833992,-0.04389007596021399,0.005314213116129007,0.0061402658460648005,4.2934674194199975e-4,0,97155,19.799999999999997,-324478.34349593497,1.7999999999999972,0,0.06999999999999984,1.6000000000000014,136719,158.31102815151007,-0.0058341256040052025,-3.133034754402601e-4,DEMOCRAT,DEMOCRAT,TRUE,0.431392611074712,0.07084554618711536,0.24125759164837302,-0.0014835595818037898
TX,2016,48453,0.05623262677806273,-0.5501078468454339,-2.1,13355.0452526132,1.2999999999999972,1.2000000000000028,0.024983180533625027,-0.03152798791064604,-0.0011657127288711017,0.0059487612199473,-0.0012818148489476293,0.09999999999999998,96666,3,106611.29936120805,-0.09999999999999432,-0.8999999999999999,-0.020000000000000018,1.1999999999999993,103739,104.74603192241011,-0.016397645915020576,-0.0036269247667256588,DEMOCRAT,DEMOCRAT,TRUE,0.657663423792456,0.14693259615031257,0.24125759164837302,-0.011420211651886981
TX,2016,48479,-0.022099912132469646,-0.5501078468454339,-0.3999999999999999,-3438.437449187004,0.19999999999999574,-0.09999999999999787,0.0026210227285250187,0.011786265501460003,0.0030854049145529598,-0.00511197018187236,-8.792185837878401e-4,-1.7000000000000002,6461,26.799999999999997,89569.4904181185,-2,-0.6000000000000001,-0.06000000000000005,-0.3000000000000007,12021,3.576101204397091,-0.013614862035980835,7.562431868019803e-4,DEMOCRAT,DEMOCRAT,TRUE,0.7434671821456814,-0.024044223001068232,0.24125759164837302,-0.01302787634716262
TX,2016,48485,-0.07985662860519427,-0.3088502551970609,0.2999999999999998,-6695.324108801702,-1,-1,0.024665883738655997,-0.02168321837131104,-0.014777079376129612,0.005828043925581599,0.0019719781297741715,-54194.1,56971.3,23.4,77520.5494271556,-2.4000000000000057,0.5999999999999999,-0.03000000000000025,0,4517,7.195192918014982,-0.03210035144346424,0.006842812555941661,DEMOCRAT,REPUBLICAN,FALSE,0.23006899446470264,-0.10631452297520422,NA,NA
TX,2016,48491,0.036961400548836676,-0.5501078468454339,-1.1000000000000005,10343.917784552497,-0.7999999999999972,1.2000000000000028,0.02747489547548798,-0.03912128306749996,-0.0052580150606932954,0.014056535838726493,6.4429967302567e-4,-0.4,42049,34.7,174263.04369918702,2.200000000000003,0.19999999999999996,0.1299999999999999,1.8000000000000007,72486,64.81921428395401,-0.008332117476341994,0.0030193266738860894,DEMOCRAT,DEMOCRAT,TRUE,0.41593255892968817,0.11812977364967367,0.24125759164837302,9.9253600620691e-4
UT,2016,49005,0.03788226478220974,-0.35575568152557047,-2.5,12976.599658826992,0.9000000000000057,-0.3999999999999986,0.019556395535082982,-0.027632878203066036,0.00457896761604892,-0.0024286499319523987,-6.836768949776903e-4,0.3999999999999999,6558,28,250515.1393728223,2.200000000000003,-0.5,0.10000000000000009,-0.3000000000000007,7233,6.209411677704992,0.0075389313450127116,0.009604122909877898,DEMOCRAT,DEMOCRAT,TRUE,0.18551898953571505,0.40838414818756646,0.32524420825711653,-0.00661178354629929
