year,county_fips,state,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct,partisan_lean,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,cpi_adjustment,gas_price
2012,39095,OH,0.6498777459589569,0.33270224243404467,DEMOCRAT,0.6498777459589569,0.3171755035249122,0.9185072312088888,0.01611092734085646,"Lucas County, Ohio",0.734030748998854,0.193578509490911,0.0165160571509459,0.00311645258654149,63.4,0.5,189205,8.7,55515.5509581881,38.6,148686.175958188,58.7,2.5,2.42,0.235965360205921,37.7,437998,20.5,1284.98315876283,1.369773519163763,5.025394647696476
2016,39095,OH,0.5610206726194091,0.38317236631638624,DEMOCRAT,0.5610206726194091,0.1778483063030229,0.9207696432003722,0.01727853031329981,"Lucas County, Ohio",0.724052459258985,0.191526701318881,0.0155148813377481,0.00188675755165461,63.4,0.4,202443,4.5,58358.0958333333,57.6,150828.958333333,57.7,3.3,2.35,0.261462769963982,38,432488,20.9,1268.81811416267,1.3104166666666666,2.781286574074074
2024,39095,OH,0.557791080169352,0.4322880871312477,DEMOCRAT,0.557791080169352,0.12550299303810425,0.8734324337806155,0.00536239836384496,"Lucas County, Ohio",0.680696988676749,0.18905395610041,0.0193365564837165,9.5005524395307e-4,63,0.4,203824,3.4,63575,61.8,175200,36.7,1.2,58802,0.311502944439703,38.9,426291,20.5,1250.63757307606,1,3.041777777777778
2016,39099,OH,0.49865301724137934,0.4659343715239155,DEMOCRAT,0.49865301724137934,0.03271864571746386,0.922087408188938,0.0093028446211906,"Mahoning County, Ohio",0.798985252686863,0.152386003965079,0.0089040381204132,0.00174776529512017,58.6,0.6,101609,4.9,55424.0729166667,69.4,131958.958333333,58.7,2.2,2.3,0.251174195752156,43.5,230008,22,558.947807691823,1.3104166666666666,2.781286574074074
2024,39099,OH,0.44927909143338807,0.5434452774943437,DEMOCRAT,0.44927909143338807,-0.09416618606095561,0.8636372865525573,0.01200990842825526,"Mahoning County, Ohio",0.741418865651546,0.133086196664098,0.00851248527366621,0.00223663114630668,56.7,0.5,99877,2.9,57167,71.2,171400,38.5,0.7,37359,0.294790084114574,43,225786,21.8,548.687826977783,1,3.041777777777778
2008,39113,OH,0.5242055071433445,0.462024839234357,REPUBLICAN,0.462024839234357,0.062180667908987464,0.9042951316382098,0.03104041272570937,"Montgomery County, Ohio",0.75534672836712,0.205031180675837,0.0150142342497372,0.00195650791394358,64.6,249672,4.4,5.3,65802.515095216,35.9,207406.395726893,62.1,2.7,2.33,0.240311985944966,38.9,534626,20.7,1158.31044941957,1.4607524384579655,4.847588119936006
2012,39113,OH,0.5150218944111041,0.4688370800441643,DEMOCRAT,0.5150218944111041,0.04618481436693983,0.8992026294966218,0.02491239358973244,"Montgomery County, Ohio",0.739776353343003,0.20751789641136,0.0199111027932438,8.2908342301034e-4,61.6,0.2,233017,6.6,58248.2491289199,39.9,181926.469947735,59,2.2,2.34,0.250133052429551,39.6,534325,21.3,1157.65830858603,1.369773519163763,5.025394647696476
2016,39113,OH,0.4723791235806288,0.4797077827805545,DEMOCRAT,0.4723791235806288,-0.007328659199925702,0.8956987957289956,0.02727915837549592,"Montgomery County, Ohio",0.731706444745209,0.208265959389277,0.021336912387833,0.00120473082736772,62.2,0.3,244818,4.3,61505.7166666667,59.9,148994.375,59.6,2.8,2.31,0.2569454164231,39.3,531239,22,1150.97224010655,1.3104166666666666,2.781286574074074
2024,39113,OH,0.4974434638612133,0.49273064743345746,DEMOCRAT,0.4974434638612133,0.004712816427755839,0.8453753626020747,0.01138867493610156,"Montgomery County, Ohio",0.67195777040542,0.194100583689805,0.022567974650335,8.5590471919812e-4,64.1,0.2,261033,3.2,65985,63.3,204700,40.6,1,75777,0.320724074034173,38.5,537443,22.3,1164.41370765246,1,3.041777777777778
2008,39151,OH,0.5171558825881788,0.4625183289343891,REPUBLICAN,0.4625183289343891,0.054637553653789694,0.9354225598675108,0.01224303791840568,"Stark County, Ohio",0.895541831261504,0.0682991661700254,0.00723074570031697,0.00277415918188674,65.3,183953,2.5,4.7,64926.0636321412,31.2,151693.297724106,66,1.9,2.46,0.196182168608089,40.4,379214,22.1,659.127909964401,1.4607524384579655,4.847588119936006
