state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_future,d_percent_pt_future
TN,2012,47149,-0.04292184019807732,0.23431587670362664,1.5999999999999996,-6119.354085782601,-3.4000000000000057,1,0.023693419385189984,-0.01042245660081298,0.017782920231735014,0.0019790576930058985,0.007523646326526081,-132055.2,135600.6,1.4000000000000021,-6663.642786946701,-1.1000000000000085,0.6000000000000001,0.25,0.10000000000000142,25184,40.66123195220899,0.005114424597730927,-0.0017018472376427803,DEMOCRAT,REPUBLICAN,FALSE,0.3683837811589511,-0.05616507786138722,-0.4770700279927711,-0.0010248497284449697
TN,2012,47157,-0.014102406429702063,0.23431587670362664,1.4000000000000004,-5556.179306162208,-2.799999999999997,-1.1000000000000014,0.010965537169755013,-0.02433992888000097,0.013352763624566943,0.002914143856445603,0.0020743097322313804,-426012.8,418640.9,4.800000000000004,-39748.18341152702,0,0.09999999999999964,0.08000000000000007,-0.40000000000000213,33939,44.469062271309895,0.004615883559934475,1.280249391713284e-4,DEMOCRAT,REPUBLICAN,FALSE,0.6263469762253139,-0.013153940888372073,-0.4770700279927711,-0.0010558188260061298
TX,2012,48027,-0.04294614759859949,0.24125759164837302,0.8999999999999999,-5745.8652631609,-5.200000000000003,-0.29999999999999716,0.0013141223326859908,-0.02606721322676997,0.010594470362420005,0.0014649369835017002,-0.0016449463065071604,-108564.1,119893.7,2.200000000000003,-4118.372005636702,0.5999999999999943,-0.19999999999999973,0.20999999999999996,0,37953,36.110361627923,0.02011716203025682,-0.00291968821795626,DEMOCRAT,REPUBLICAN,FALSE,0.4119434842122358,-0.06538361038563367,-0.5501078468454339,0.00562818283667493
TX,2012,48029,-0.015938713858643094,0.24125759164837302,2.1000000000000005,1450.141624360098,0.3999999999999915,0.30000000000000426,0.018494242030222985,-0.035539118934244995,0.0054271400791505026,0.0047727010646035,0.0010238626431366398,-733984.9,808034,4.899999999999999,-24798.84295634803,2.5999999999999943,0.20000000000000018,0.010000000000000231,-0.6000000000000014,162805,131.30699834279994,-8.623095235067435e-4,-0.0034794642441551803,DEMOCRAT,REPUBLICAN,FALSE,0.5156040421973949,-0.010402176395127631,-0.5501078468454339,-2.945990024067688e-4
TX,2012,48061,0.0024374304316331363,0.24125759164837302,3.3000000000000003,-2332.5614317838044,0.29999999999999716,2.1000000000000014,0.005666356112504017,-0.023096683036887056,0.00536307605708605,-0.00304472460521544,-0.0012432963766830602,-140243.2,144029.7,3.1000000000000014,-8981.206693803993,2.299999999999997,0.7000000000000002,0.08999999999999986,0.5999999999999979,22821,25.61106213011601,0.013055776125937002,-0.001928055671132519,DEMOCRAT,REPUBLICAN,FALSE,0.6499122179595552,0.022239837024500886,-0.5501078468454339,9.590490829162988e-4
TX,2012,48085,-0.041675049784269946,0.24125759164837302,0.19999999999999973,-7447.692115046011,-2.5999999999999943,1.9000000000000057,0.021447469492891003,-0.04717453814386796,0.01326100982048091,0.016749950881663006,2.352007775729449e-6,-407579.2,431455.3,3.3000000000000007,-6691.9448654419975,0.09999999999999432,-0.6000000000000001,0.020000000000000018,0,72632,86.33635767045507,0.001599610625272696,-0.0021326198931503094,DEMOCRAT,REPUBLICAN,FALSE,0.33490081599360677,-0.05953237947008927,-0.5501078468454339,-6.5962965076884e-4
TX,2012,48113,-0.009076519830471863,0.24125759164837302,1.8000000000000007,-3987.8713348281017,-1.2999999999999972,-0.6000000000000014,0.020840033133609992,-0.007611008360718041,0.023375258289069,0.007712792679295498,-0.0014157439399937301,-1180803.2,1157982.5,4.400000000000006,-84076.18708843098,-0.19999999999998863,0.10000000000000009,0.010000000000000231,0.1999999999999993,41016,46.99832239692023,-0.010299153074333378,-0.003530975668427961,DEMOCRAT,REPUBLICAN,FALSE,0.5711326443388907,0.001557627433980302,-0.5501078468454339,-0.0017541633529718909
TX,2012,48121,-0.05010721762696313,0.24125759164837302,1.5999999999999996,-10103.0594768101,-2.9000000000000057,1.6000000000000014,0.016709042743255964,0.020963297389998026,0.005500346427314895,0.013195905156037906,0.00258661421628947,-346769.7,366838.4,3.6000000000000014,12157.299852850992,-0.20000000000000284,-0.5,-0.1900000000000004,0.6000000000000014,70747,80.52743687148006,-0.021284544035921504,0.00831367235643841,DEMOCRAT,REPUBLICAN,FALSE,0.3335433991951594,-0.07390387414552452,-0.5501078468454339,-0.00393583666191151
TX,2012,48141,-0.011329507229411506,0.24125759164837302,3.1,1967.9599135231038,-1.1000000000000014,-0.09999999999999787,0.013401253095836008,0.006964824500618083,0.005253889710674701,-5.193716843457999e-4,0.0016519078123259897,-302405.9,317368.9,5,-10866.854861582018,-0.29999999999999716,0.10000000000000009,0.050000000000000266,1,85336,84.25567691642095,0.0016701798242243493,-5.582714289258106e-4,DEMOCRAT,REPUBLICAN,FALSE,0.6551284133354986,-0.001546267029982118,-0.5501078468454339,-5.053584349651516e-4
TX,2012,48157,-0.030334071279015162,0.24125759164837302,0.6000000000000001,-5694.3285683529975,-2.200000000000003,3,0.01987650676618896,-0.06479364181079994,0.0054157823586959974,0.02547282058199099,-0.00155328982603149,-262762.2,296256.9,2.5,38371.113764765,2.200000000000003,-0.3999999999999999,-0.43000000000000016,-0.10000000000000142,95152,110.43223006689198,-0.00560423043371161,0.0010408934983251704,DEMOCRAT,REPUBLICAN,FALSE,0.4608158039810651,-0.044405117857260756,-0.5501078468454339,-0.0011294518846575903
