state,year,county_fips,d_inc_vote,d_gas,s_d_gas,d_log_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_future,s_d_gas_future,d_percent_pt_future
IL,2014,17119,-0.045198820636446535,0.0422573885590527,0.001785686887830758,0.012727956014960684,-0.1999999999999993,-2510.180464537305,1.2000000000000028,2.1000000000000014,0.020164098176397027,-0.004448529762851927,0.004140891834189503,0.00110293522747959,-5.3478861435502e-4,-0.20000000000000007,3233,5.699999999999999,-17369.2280316986,-2.8000000000000043,0,0.009999999999999787,1.7999999999999972,-2711,-3.7877277832219534,-0.0059994113228576396,0.011770354935486501,DEMOCRAT,DEMOCRAT,TRUE,0.38170131107502786,-0.09039764127289304,-0.15786797928047802,NA,-0.01472803995119881
IL,2014,17163,-0.04986850987281238,0.0422573885590527,0.001785686887830758,0.012727956014960684,-2.3000000000000007,-995.926078954697,-5.6000000000000085,0.7000000000000028,0.008737330575738028,0.005367478612094967,-0.013574735536374005,0.0023173931503524,-0.0016650187062804,-0.19999999999999996,-8042,1.0999999999999943,-12253.225462558607,0.20000000000000284,0.8,0.050000000000000266,2.599999999999998,-4690,-7.130052942260988,-0.02774447292577753,0.01941586378450691,DEMOCRAT,DEMOCRAT,TRUE,0.45910138248847926,-0.09973701974562477,-0.15786797928047802,NA,-0.038387693389117045
IL,2014,17197,-0.02195210849434459,0.0422573885590527,0.001785686887830758,0.012727956014960684,-3.8999999999999995,-2982.0833456820983,-0.5,1.3999999999999986,0.022129183794840024,-0.04096780041232506,8.768277048360057e-4,0.007453008623695398,0.00123499675506309,0,31506,1.4000000000000021,-23756.39208651302,0.8999999999999915,-0.5,0.010000000000000231,0,6722,8.031714874501972,0.026212293631946326,-0.009888036825894952,DEMOCRAT,DEMOCRAT,TRUE,0.4272503890143398,-0.043904216988689196,-0.15786797928047802,NA,0.004887034255520083
IL,2014,17201,0.027436417583671713,0.0422573885590527,0.001785686887830758,0.012727956014960684,-1.7999999999999998,-539.0060982944997,1.2000000000000028,0.8999999999999986,0.018339707435442998,-0.02065511137141396,2.145641439690038e-4,-4.917202899533991e-4,3.4178282449768985e-4,0.09999999999999998,5500,4.4999999999999964,-12673.545349890293,-2.299999999999997,0.3999999999999999,-0.11999999999999966,-0.40000000000000213,-6585,-12.826866406470003,-0.012049655419743566,0.001437366006813089,DEMOCRAT,DEMOCRAT,TRUE,0.4066325719433993,0.05487283516734326,-0.15786797928047802,NA,-0.005061746248693379
IN,2012,18003,-0.058506722375189946,0.2638956705481621,0.06964092493406411,0.08166388343516373,1.2999999999999998,-4206.181931944811,-1.2000000000000028,-0.09999999999999432,-0.0058224319852500095,-0.02108196159327591,0.006094819445583002,0.008168424184347801,-2.6376650853879996e-4,-169738.6,167924.8,2.8999999999999986,-13701.338720300992,-2.3999999999999986,-0.5,0.06999999999999984,-1,9889,15.04450792073203,-0.01786729724071423,-0.00195161898560615,REPUBLICAN,REPUBLICAN,TRUE,0.5619051011684241,0.11701344475037978,-0.47428692018855667,NA,0.0051651124033599
IN,2012,18039,0.0035722620552629536,0.2638956705481621,0.06964092493406411,0.08166388343516373,-0.2999999999999998,-10246.183949832608,-5.200000000000003,0.3999999999999986,0.002132543558645006,0.02224967913518905,0.011815019249386799,-0.0012273031118319993,-0.0033465410263657704,-98074.5,91698.2,5.600000000000001,-10226.6228459681,0.5,1.2999999999999998,0,1.3000000000000007,482,1.0406460110649505,0.001398432109765202,-0.00259981635458761,REPUBLICAN,REPUBLICAN,TRUE,0.596694973605692,-0.0071445241105258794,-0.47428692018855667,NA,0.0038287355882311905
IN,2012,18089,-0.03818428819685532,0.2638956705481621,0.06964092493406411,0.08166388343516373,3.3,-7365.144333083503,-1,0.4000000000000057,0.007853987913444022,-0.01762136408100401,-0.004119708675999034,0.0019553089034675016,4.1634698684040036e-4,-225105.6,209451.7,2.6000000000000014,-24628.546961051004,0.4000000000000057,0.19999999999999973,0.10999999999999988,-1.3000000000000007,-182,-0.36474735894000787,0.004144721403092411,-0.0038285108126617715,REPUBLICAN,REPUBLICAN,TRUE,0.3131723750701853,0.0763685763937107,-0.47428692018855667,NA,0.0020601301312804104
IN,2012,18097,-0.1857161057927153,0.2638956705481621,0.06964092493406411,0.08166388343516373,2.0999999999999996,-6836.386942253805,-1.1999999999999886,-2.1000000000000014,0.002271295958499009,-0.04917845111901609,0.015723829584984972,0.0036387635799290975,0.0023292784206438207,-429393.7,432091.8,6.600000000000001,-48086.492979976,1,0.40000000000000036,0.0900000000000003,0.20000000000000284,38597,97.38573831264011,-0.004695205210663467,9.542050652913969e-4,REPUBLICAN,REPUBLICAN,TRUE,0.3813114657558448,0.37143221158543066,-0.47428692018855667,NA,-0.007971847082020709
IN,2012,18141,-0.0440092183672362,0.2638956705481621,0.06964092493406411,0.08166388343516373,0.5,-1052.784514072402,-2.3999999999999915,0.29999999999999716,0.01822625572687503,-0.010252788542503999,0.01591323273772599,0.0029177271650340005,2.47791841027e-4,-125462.5,121223.4,1.8999999999999986,-6943.4067810738925,0.7000000000000028,-0.09999999999999964,-0.06000000000000005,0.5,-336,-0.733867074221962,-0.0051294387785305595,0.00430653984422661,REPUBLICAN,REPUBLICAN,TRUE,0.4426369461409286,0.08801843673447236,-0.47428692018855667,NA,0.0041740274528175286
IN,2012,18157,-0.15309015562262346,0.2638956705481621,0.06964092493406411,0.08166388343516373,1.1000000000000005,-7206.520996753599,-2.5999999999999943,0.1999999999999993,-0.037904891074169,-0.0028395097334600328,0.019371048013779295,0.0108326943644763,-0.0022803478440300996,-82245.7,84894.3,1.1999999999999957,522.830400535102,-1.2000000000000028,0.30000000000000004,-0.029999999999999805,0.8000000000000007,13276,26.562457944096025,-0.0252163174449318,0.007131665940315071,REPUBLICAN,REPUBLICAN,TRUE,0.4820285297090868,0.3061803112452469,-0.47428692018855667,NA,0.0020124878941836094
